config,bottleneck,pipeline,method,n,successes,asr,bootstrap95_lo,bootstrap95_hi,wilson95_lo,wilson95_hi,source_json
Config A,IG,Qwen3Guard -> GPT-4o-mini -> WildGuard,Direct,100,0,0.0000,0.0000,0.0000,0.0000,0.0370,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json
Config A,IG,Qwen3Guard -> GPT-4o-mini -> WildGuard,C3A w/o KB,100,33,0.3300,0.2400,0.4200,0.2456,0.4269,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json
Config A,IG,Qwen3Guard -> GPT-4o-mini -> WildGuard,C3A config-holdout KB,100,30,0.3000,0.2100,0.3900,0.2189,0.3958,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_reduced/aggregated_results.json
Config A,IG,Qwen3Guard -> GPT-4o-mini -> WildGuard,C3A full KB,100,32,0.3200,0.2300,0.4100,0.2367,0.4166,paper/data/gpu_results_20260505/raw/results/c3a/kb_holdout_config16_full/aggregated_results.json
Config B,LLM,ShieldGemma -> Phi-4 -> LlamaGuard3,Direct,100,0,0.0000,0.0000,0.0000,0.0000,0.0370,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json
Config B,LLM,ShieldGemma -> Phi-4 -> LlamaGuard3,PAIR,100,31,0.3100,0.2200,0.4000,0.2278,0.4063,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json
Config B,LLM,ShieldGemma -> Phi-4 -> LlamaGuard3,C3A w/o KB,100,24,0.2400,0.1600,0.3300,0.1669,0.3323,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json
Config B,LLM,ShieldGemma -> Phi-4 -> LlamaGuard3,C3A full KB,100,60,0.6000,0.5100,0.6900,0.5020,0.6906,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json
Config C,OG,Qwen3Guard -> Ministral-8B -> WildGuard,Direct,100,0,0.0000,0.0000,0.0000,0.0000,0.0370,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json
Config C,OG,Qwen3Guard -> Ministral-8B -> WildGuard,PAIR,100,47,0.4700,0.3700,0.5600,0.3751,0.5671,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json
Config C,OG,Qwen3Guard -> Ministral-8B -> WildGuard,C3A w/o KB,100,34,0.3400,0.2500,0.4300,0.2546,0.4372,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json
Config C,OG,Qwen3Guard -> Ministral-8B -> WildGuard,C3A full KB,100,34,0.3400,0.2500,0.4400,0.2546,0.4372,paper/data/gpu_results_20260505/raw/results/c3a/part2_bc_full_20260503/aggregated_results.json
